customer_id,full_name,email,country_code,created_ts,updated_at
c_0005,Rowan Wilson,rowan.2025@test.org,US,08/04/2025 07:38,31/07/2025 10:14
c_0017,Alex Jones,alex.new@mail.com,US,04/05/2025 16:04,19/07/2025 10:31
c_0055,Taylor Nguyen,taylor.new@mail.com,US,17/03/2025 21:59,03/07/2025 09:42
c_0064,Logan Johnson,logan.new@test.org,DE,08/04/2025 18:10,03/07/2025 08:40
c_0067,Emery Kim,emery.alt@shop.net,US,13/03/2025 16:49,03/07/2025 21:50
c_0087,Ava  Jones,ava.alt@shop.net,CA,27/03/2025 19:05,03/07/2025 15:56
c_0095,Aria Wilson,aria.alt@shop.net,US,29/04/2025 21:35,03/07/2025 17:43
c_0100,Aria Lopez,aria.2025@shop.net,US,06/06/2025 11:56,31/07/2025 10:42
c_0119,Ava Anderson,ava.alt@shop.net,DE,27/03/2025 14:43,03/07/2025 20:07
c_0120,Casey Moore,casey.2025@mail.com,DE,24/04/2025 16:58,31/07/2025 17:46
c_0121,Aria Martinez,aria.2025@example.com,US,30/04/2025 21:40,03/07/2025 20:32
c_0124,Isabella Jones,isabella.2025@mail.com,US,27/04/2025 12:04,16/07/2025 19:27
c_0135,Casey Martinez,casey.alt@shop.net,US,10/03/2025 19:10,03/07/2025 17:25
c_0137,Skyler  Thomas,skyler.alt@shop.net,US,20/06/2025 07:59,31/07/2025 08:08
c_0142,Morgan Lee,morgan.new@test.org,US,26/03/2025 17:31,03/07/2025 17:20
c_0151,Rowan Brown,rowan.2025@test.org,US,07/04/2025 18:07,22/07/2025 16:11
c_0157,Mason Williams,mason.new@example.com,US,14/03/2025 20:32,03/07/2025 18:37
c_0171,Sophia Moore,sophia.alt@example.com,US,20/03/2025 16:25,03/07/2025 20:46
c_0175,Mason  Jones,mason.new@mail.com,US,03/07/2025 08:34,31/07/2025 18:02
c_0185,Logan  Johnson,logan.new@test.org,US,13/03/2025 09:29,03/07/2025 16:33
c_0217,Isabella Nguyen,isabella.alt@example.com,US,24/03/2025 17:30,03/07/2025 13:59
c_0222,Aria Brown,aria.alt@mail.com,GB,08/04/2025 13:28,03/07/2025 17:04
c_0227,Isabella Johnson,isabella.2025@test.org,US,03/05/2025 21:37,29/07/2025 19:40
c_0233,Logan Patel,logan.2025@example.com,US,07/03/2025 18:36,03/07/2025 10:59
c_0237,Noah  Garcia,noah.new@shop.net,DE,24/05/2025 20:24,06/07/2025 10:46
c_0248,Taylor Moore,taylor.alt@mail.com,US,16/04/2025 08:29,03/07/2025 12:23
c_0254,Sophia Jones,sophia.2025@shop.net,DE,25/03/2025 16:56,03/07/2025 11:05
c_0263,Rowan Moore,rowan.new@test.org,DE,23/03/2025 21:25,20/07/2025 16:22
c_0265,Quinn Patel,quinn.new@test.org,US,25/03/2025 10:30,03/07/2025 12:15
c_0273,Avery Martin,avery.new@mail.com,CA,09/03/2025 10:01,03/07/2025 08:50
c_0274,Olivia Williams,olivia.new@mail.com,US,25/03/2025 19:36,03/07/2025 15:33
c_0276,Skyler Brown,skyler.2025@test.org,CA,26/04/2025 17:30,31/07/2025 21:07
c_0283,Isabella Smith,isabella.new@mail.com,US,28/05/2025 12:47,31/07/2025 16:51
c_0304,Liam Martin,liam.2025@example.com,DE,05/03/2025 16:01,03/07/2025 19:03
c_0312,Aria  Nguyen,aria.2025@example.com,US,12/04/2025 08:34,31/07/2025 07:31
c_0332,Mia Garcia,mia.new@shop.net,US,25/05/2025 10:15,03/07/2025 15:40
c_0335,Avery Johnson,avery.new@test.org,GB,16/05/2025 07:26,03/07/2025 09:18
c_0338,Emma  Lee,emma.new@test.org,CA,10/05/2025 07:18,03/07/2025 15:41
c_0368,Riley Chen,riley.new@test.org,US,06/03/2025 18:40,03/07/2025 18:45
c_0374,Casey Hernandez,casey.2025@shop.net,US,10/04/2025 21:18,08/07/2025 12:05
c_0388,Taylor  Smith,taylor.2025@example.com,US,16/04/2025 12:22,22/07/2025 09:42
c_0406,Ava Lopez,ava.new@example.com,US,04/03/2025 16:21,03/07/2025 15:14
c_0433,Taylor Patel,taylor.alt@shop.net,GB,19/05/2025 14:20,31/07/2025 09:56
c_0451,Riley  Anderson,riley.alt@mail.com,CA,10/05/2025 12:16,03/07/2025 07:13
c_0456,Avery Anderson,avery.2025@mail.com,US,17/04/2025 19:12,06/07/2025 20:54
